ID,CRIM,ZN,INDUS,RIVER_FLG,nitric oxides concentration,#rooms/dwelling,AGE,DIS,RAD,TAX,PTRATIO  ,B,LSTAT,MEDV
121,0.0669203,0,26.676,0,0.60424,5.8113,76.094,2.280277,2,305,19.1,393.0415,14.5137,21.78
122,0.0680675,0,24.3675,0,0.57519,5.94396,91.623,2.219374,2,251,19.1,358.7865,14.6981,20.503
123,0.0892704,0,24.3675,0,0.57519,5.90139,94.184,2.003424,2,225,19.1,366.7473,18.6472,19.885
124,0.1533876,0,26.676,0,0.56938,6.09024,105.88,2.04162,2,408,19.1,374.0131,25.6641,16.954
125,0.1004598,0,25.137,0,0.58681,6.17295,103.674,2.046426,2,378,19.1,386.9676,16.8768,18.048
126,0.16902,0,24.624,0,0.59843,6.04586,93.4,2.032758,2,443,19.1,377.3196,15.5505,21.4
127,0.3912235,0,25.137,0,0.61005,5.72526,95.82,1.704484,2,210,19.1,348.5113,28.623,15.072
180,0.055488,0,2.4108,0,0.46848,7.0498,64.568,2.88558,3,228,17.8,396.9,4.8888,38.688
181,0.0671976,0,2.5092,0,0.5124,7.765,89.966,2.63136,3,205,17.8,383.6932,7.8624,40.994
182,0.0681912,0,2.4108,0,0.50752,6.02112,64.712,2.5979,3,367,17.8,400.869,9.45,36.2
183,0.0864785,0,2.337,0,0.488,6.8688,93.512,2.727606,3,282,17.8,405.9436,4.7718,36.005
184,0.0990792,0,2.4354,0,0.4636,6.43174,99.644,2.98935,3,208,17.8,388.962,5.396,34.125
185,0.0797568,0,2.4846,0,0.5124,5.82816,93.004,2.868384,3,366,17.8,387.09,14.5392,25.872
186,0.0634935,0,2.3862,0,0.5124,6.27606,73.8,3.378091,3,291,17.8,375.4967,13.0185,29.304
187,0.0548996,0,2.5584,0,0.49776,8.14424,59.136,3.135216,3,195,17.8,408.3352,4.4945,51
284,0.0154603,90,1.2342,1,0.40902,8.23992,30.544,5.59075,1,287,13.6,407.3856,3.0336,50.5
65,0.0189247,17.5,1.3938,0,0.428583,7.31712,61.525,9.2229,3,283,18.6,412.902,7.889,34.65
280,0.2166914,20,3.4632,0,0.434042,6.67576,35.912,3.895665,5,395,14.9,416.745,4.6075,36.504
281,0.0364956,20,3.1635,0,0.456187,7.8982,70.145,4.835541,5,389,14.9,402.8024,3.8352,45.4
282,0.0374205,20,3.3633,0,0.465045,7.24672,41.828,5.034912,5,386,14.9,403.9969,4.4064,33.63
283,0.0606771,20,3.1968,1,0.429613,7.645,56.688,5.264019,5,365,14.9,392.1528,2.9799,46
4,0.0333411,0,2.2454,0,0.44426,7.3479,50.342,6.001578,3,410,18.7,406.4689,2.94,34.736
5,0.0725025,0,2.18,0,0.47632,7.147,58.658,5.819712,3,364,18.7,388.962,5.3833,38.01
6,0.0307455,0,2.2018,0,0.47632,6.3014,61.939,6.244066,3,355,18.7,390.1788,5.0537,27.265
305,0.0523925,33,2.289,0,0.46256,7.5978,46.922,3.8209,7,296,18.4,381.8696,7.1379,36.461
306,0.0520505,33,2.289,0,0.472,6.74832,65.424,3.2689,7,425,18.4,405.1608,8.4835,27.832
307,0.0787815,33,2.1146,0,0.48616,7.7168,74.743,3.130192,7,256,18.4,396.9,6.6641,34.402
